doc_id,category,text
D001,data,"The data team checked each record before training."
D002,experiment,"A simple baseline made the first result easy to interpret."
D003,review,"The reviewer compared the report with the saved output."
D004,meeting,"Today's meeting focused on missing data and clear assumptions."
D005,result,"The model improved accuracy, but the small sample still matters."
D006,experiment,"Cross-validation helped the team compare two model settings."
D007,data,"Clean data supports reliable analysis and repeatable results."
D008,review,"Don't hide failed tests or unusual values from the reviewer."
D009,meeting,"The team agreed to keep the tokenizer simple."
D010,result,"Frequent words can reveal the focus of a research note."
D011,experiment,"A train-test split kept evaluation separate from training."
D012,data,"Version 2 added 15 records and corrected three labels."
D013,review,"Reviewer’s notes asked for evidence, not a longer explanation."
D014,meeting,"The next meeting will review code, tests, and outputs."
D015,result,"The baseline result remained useful when the model changed."
D016,experiment,"Small experiments are easier to reproduce and review."
D017,data,"Each document keeps its original text in the data file."
D018,review,"A clear report links every claim to a visible result."
D019,meeting,"The project team recorded decisions after each check."
D020,result,"Token counts should match the reported total exactly."
